category_code,section,diagram,group_code,group_name,oem_number,quantity,production_period,applies_for_models,notes,donor_engine_tokens,confidence_statement,required_verification
010,Engine Main,PISTON & CRANKSHAFT,12108,BEARING SET-CONNECTING ROD,12108AA210,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12108,BEARING SET-CONNECTING ROD,12108AA220,*,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12108,BEARING SET-CONNECTING ROD,12108AA230,*,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12108,BEARING SET-CONNECTING ROD,12108AA240,*,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12200,CRANKSHAFT COMPLETE,12200AA140,01,01.06.1997 - 31.03.1998,EJ18E +EJ20E +EJ20D,-E/#2213361,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12200,CRANKSHAFT COMPLETE,12200AA200,01,01.03.1998 - 30.11.1998,EJ18E +EJ20E +EJ20D,E/#2213362-,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
011,Engine Main,FLYWHEEL,12332,PLATE-DRIVE,12332AA032,01,01.06.1997 - 30.11.1998,AT.(EJ18E+EJ20E+EJ20D),,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,13013,SUPPORT-CAMSHAFT,13013AA031,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,13019,"SPROCKET COMPLETE-CAMSHAFT,NO.2",13019AA030,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,13020,CAMSHAFT COMPLETE-RIGHT,13020AA450,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,13022,CAMSHAFT COMPLETE-LEFT,13022AA410,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,13092,"SUPPORT-CAMSHAFT,NO.2",13092AA000,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,A11208,bolt,800112080,02,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,A2068,bolt,800206800,02,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,G73205,OIL SEAL,806732050,02,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,G94603,seal O ring,806946030,02,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,H04504,plug,807045040,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,12305,PULLEY-CRANKSHAFT,12305AA121,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,13033,ADJUSTER ASSEMBLY-BELT TENSIONER,13033AA001,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,13085,"IDLER COMPLETE-BELT,NO.2",13085AA010,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,13156,BRACKET COMPLETE-TENSIONER,13156AA051,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,13160,timing belt and label set,13160AA040,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,A11024,bolt,800110240,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,A11036,bolt,800110360,02,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,J20833,bolt,808208330,03,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
013,Engine Main,CAMSHAFT & TIMING BELT,J20838,bolt,808208380,03,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
020,Engine Main,ROCKER COVER,13264,"COVER COMPLETE-VALVE ROCKER,RIGHT",13264AA070,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
020,Engine Main,ROCKER COVER,13271,WASHER-ROCKER COVER,13271AA050,06,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
020,Engine Main,ROCKER COVER,13278,"COVER COMPLETE-VALVE ROCKER,LEFT",13278AA060,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
030,Engine Main,OIL FILLER DUCT,15255,CAP COMPLETE-OIL FILLER,15255AA022,01,02.1997 - 11.1998,,EJ18E +EJ20E +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
030,Engine Main,OIL FILLER DUCT,D94201,GASKET,803942010,01,02.1997 - 11.1998,42X51X8.5,EJ18E +EJ20E +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
030,Engine Main,OIL FILLER DUCT,G92306,O RING,806923060,01,02.1997 - 11.1998,,EJ18E +EJ20E +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
031,Engine Main,OIL PAN,G90808,O RING,806908080,01,02.1997 - 11.1998,,EJ18E +EJ20E +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
031,Engine Main,OIL PAN,11140,GAUGE COMPLETE-OIL LEVEL,11140AA046,01,02.1997 - 11.1998,,EJ18E +EJ20E +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
031,Engine Main,OIL PAN,G91707,O RING,806917070,01,02.1997 - 11.1998,,EJ18E +EJ20E +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
031,Engine Main,OIL PAN,15050,OIL STRAINER COMPLETE-ENGINE,15050AA050,01,02.1997 - 11.1998,,EJ18E +EJ20E +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
031,Engine Main,OIL PAN,A7068,BOLT,800706800,02,02.1997 - 11.1998,,EJ18E +EJ20E +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
031,Engine Main,OIL PAN,11122,SEALING-OIL PAN,11122AA000,01,02.1997 - 11.1998,,EJ18E +EJ20E +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
031,Engine Main,OIL PAN,A50635,BOLT & WASHER ASSEMBLY,800506350,14,02.1997 - 11.1998,6X13X13,EJ18E +EJ20E +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
031,Engine Main,OIL PAN,11126,GASKET-DRAIN PLUG,11126AA000,01,02.1997 - 11.1998,,EJ18E +EJ20E +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
031,Engine Main,OIL PAN,H02001,PLUG,807020010,01,02.1997 - 11.1998,20X14,EJ18E +EJ20E +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
031,Engine Main,OIL PAN,G91017,O RING,806910170,02,02.1997 - 11.1998,,EJ18E +EJ20E +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
032,Engine Main,OIL PUMP & FILTER,15010,OIL PUMP ASSEMBLY-ENGINE,15010AA096,01,01.06.1997 - 30.04.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
032,Engine Main,OIL PUMP & FILTER,15010,OIL PUMP ASSEMBLY-ENGINE,15010AA231,01,01.05.1998 - 31.05.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
032,Engine Main,OIL PUMP & FILTER,15010,OIL PUMP ASSEMBLY-ENGINE,15010AA232,01,01.06.1998 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
032,Engine Main,OIL PUMP & FILTER,15015,"ROTOR-OIL PUMP,INNER",15015AA050,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
032,Engine Main,OIL PUMP & FILTER,15016,"ROTOR-OIL PUMP,OUTER",15016AA050,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
032,Engine Main,OIL PUMP & FILTER,15020,"SPRING-RELIEF VALVE,ENGINE",15020AA051,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
035,Engine Main,WATER PUMP,11060,COVER-THERMO,11060AA070,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
035,Engine Main,WATER PUMP,14065,PIPE COMPLETE-WATER BYPASS,14065AA000,02,01.06.1997 - 31.05.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
035,Engine Main,WATER PUMP,14065,PIPE COMPLETE-WATER BYPASS,14065AA120,01,01.06.1998 - 31.10.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
035,Engine Main,WATER PUMP,14065,PIPE COMPLETE-WATER BYPASS,14065AA121,01,01.11.1998 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
035,Engine Main,WATER PUMP,21110K,water pump and gasket kit,X2111AA031,01,01.06.1997 - 30.11.1997,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
035,Engine Main,WATER PUMP,21110K,water pump and gasket kit,X2111AA032,01,01.12.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
035,Engine Main,WATER PUMP,21114,GASKET-WATER PUMP,21114AA050,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
035,Engine Main,WATER PUMP,21116,SEALING-WATER PUMP,21116AA010,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
035,Engine Main,WATER PUMP,21200,THERMO ASSEMBLY,21200AA072,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
035,Engine Main,WATER PUMP,21236,GASKET-THERMO,21236AA010,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
035,Engine Main,WATER PUMP,A10693,bolt,800106930,06,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
035,Engine Main,WATER PUMP,F92209,HOSE CLAMP,805922090,02,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
035,Engine Main,WATER PUMP,H615081,HOSE,807615081,02,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
036,Engine Main,WATER PIPE (1),14050,PIPE COMPLETE-WATER,14050AA180,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D +EJ25D,,EJ18E;EJ20D;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
036,Engine Main,WATER PIPE (1),21203,GAUGE ASSEMBLY-THERMO,21203AA030,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D +EJ25D,,EJ18E;EJ20D;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
036,Engine Main,WATER PIPE (1),22630,SENSOR ASSEMBLY-TEMPERATURE,22630AA041,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D +EJ25D,,EJ18E;EJ20D;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
036,Engine Main,WATER PIPE (1),A20682,bolt,800206820,04,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D +EJ25D,,EJ18E;EJ20D;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
036,Engine Main,WATER PIPE (1),G93301,seal O ring,806933010,02,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D +EJ25D,,EJ18E;EJ20D;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
036,Engine Main,WATER PIPE (1),H607191,HOSE,807607191,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D +EJ25D,,EJ18E;EJ20D;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
063,Engine Auxiliaries,THROTTLE CHAMBER,16118,CHAMBER ASSEMBLY-THROTTLE,16118AB310,01,01.06.1997 - 30.11.1998,EJ20E +EJ20D,lean burn excluding,EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
063,Engine Auxiliaries,THROTTLE CHAMBER,22633,SENSOR ASSEMBLY-THROTTLE,22633AA110,01,01.06.1997 - 30.11.1997,EJ20E +EJ20D +EJ25D,,EJ20D;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
063,Engine Auxiliaries,THROTTLE CHAMBER,22633,SENSOR ASSEMBLY-THROTTLE,22633AA111,01,01.12.1997 - 30.11.1998,EJ20E +EJ20D +EJ25D,,EJ20D;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
070,Engine Auxiliaries,AIR CLEANER & ELEMENT,46052,"CASE COMPLETE-AIR CLEANER,UPPER",46053AC090,01,02.1997 - 11.1998,*EJ20E +EJ25D,L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
070,Engine Auxiliaries,AIR CLEANER & ELEMENT,46068,GUIDE-AIR CLEANER,46033AC000,02,02.1997 - 11.1998,*EJ20E +EJ25D,L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
070,Engine Auxiliaries,AIR CLEANER & ELEMENT,22680,METER ASSEMBLY-AIR FLOW,22680AA160,01,02.1997 - 11.1998,*EJ20E +EJ25D,L/J E* I*,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
