category_code,section,diagram,group_code,group_name,oem_number,quantity,production_period,applies_for_models,notes,engine_tokens,interchange_signal,confidence_gate,required_verification
004,Engine Main,CYLINDER BLOCK,B50604,SCREW-COUNTERSUNK HEAD,801506040,08,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,D92801,GASKET,803928010,03,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,G78603,OIL SEAL,806786030,01,01.06.1997 - 31.07.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,G78604,OIL SEAL,806786040,01,01.08.1998 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,G91905,seal O ring,806919050,03,01.06.1997 - 30.09.1997,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,G93203,seal O ring,806932030,01,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,11008,BLOCK SET-CYLINDER,11008AA151,01,01.06.1997 - 31.03.1998,EJ20E +EJ20D +EJ20H,-E/#2213361,EJ20D;EJ20E;EJ20H,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,Engine Main,CYLINDER BLOCK,11008,BLOCK SET-CYLINDER,11008AA500,01,01.03.1998 - 30.11.1998,EJ20E +EJ20D,E/#2213362-,EJ20D;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,Engine Main,CYLINDER BLOCK,11024,PLUG-MAIN GALLERY,11024AA210,01,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,11034,WASHER-CYLINDER BLOCK SEALING,11034AA000,06,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,A21099,bolt,800210990,08,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,A61001,bolt,800610010,02,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,A91047,STUD,800910470,02,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,D01012,WASHER,803010120,04,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,E01007,STRAIGHT PIN,804010070,02,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,E01406,STRAIGHT PIN,804014060,04,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
005,Engine Main,TIMING HOLE PLUG & TRANSMISSION BOLT,11413,PLUG-TIMING HOLE,11413AA032,01,01.06.1997 - 30.11.1998,EJ20# +EJ25D,,EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
005,Engine Main,TIMING HOLE PLUG & TRANSMISSION BOLT,22442,STAY-BATTERY CABLE,22442AA001,01,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
005,Engine Main,TIMING HOLE PLUG & TRANSMISSION BOLT,24233,CLIP-NO.4,24233AA053,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
005,Engine Main,TIMING HOLE PLUG & TRANSMISSION BOLT,A21098,bolt,800210980,01,01.06.1997 - 30.04.1998,AT.(EJ18E+EJ20#+EJ25D),,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
005,Engine Main,TIMING HOLE PLUG & TRANSMISSION BOLT,A51007,bolt and washer assembly,800510070,01,01.05.1998 - 30.11.1998,AT.(EJ18E+EJ20#+EJ25D),,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
005,Engine Main,TIMING HOLE PLUG & TRANSMISSION BOLT,A51008,bolt and washer assembly,800510080,01,01.05.1998 - 30.11.1998,AT.(EJ18E+EJ20#+EJ25D),,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
005,Engine Main,TIMING HOLE PLUG & TRANSMISSION BOLT,A61005,bolt,800610050,01,01.06.1997 - 30.04.1998,AT.(EJ18E+EJ20#+EJ25D),,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
005,Engine Main,TIMING HOLE PLUG & TRANSMISSION BOLT,C01008,NUT,802010080,02,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
005,Engine Main,TIMING HOLE PLUG & TRANSMISSION BOLT,D01012,WASHER,803010120,02,01.05.1998 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
006,Engine Main,CYLINDER HEAD,11039,HEAD ASSEMBLY-CYLINDER,11039AB091,02,01.06.1997 - 30.11.1998,EJ20E,lean burn excluding,EJ20E,ej20e_specific_target_part,Target-fit evidence only; no cross-engine interchange claim.,Use exact OEM number or supersession for purchases; do not substitute a donor engine without separate evidence.
006,Engine Main,CYLINDER HEAD,11044,GASKET-CYLINDER HEAD,11044AA364,02,01.06.1997 - 30.11.1998,EJ20E,,EJ20E,ej20e_specific_target_part,Target-fit evidence only; no cross-engine interchange claim.,Use exact OEM number or supersession for purchases; do not substitute a donor engine without separate evidence.
006,Engine Main,CYLINDER HEAD,11095,BOLT ASSEMBLY-CYLINDER HEAD,11095AA090,12,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
006,Engine Main,CYLINDER HEAD,13214,GUIDE-VALVE,13212AA040,08,01.06.1997 - 30.11.1998,EJ18E +EJ20E,exhaust,EJ18E;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
006,Engine Main,CYLINDER HEAD,13214,GUIDE-VALVE,13212AA120,08,01.06.1997 - 30.11.1998,EJ18E +EJ20E,intake,EJ18E;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
006,Engine Main,CYLINDER HEAD,A91039,STUD,800910390,06,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
006,Engine Main,CYLINDER HEAD,E01006,STRAIGHT PIN,804010060,04,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12006,PISTON SET,12006AA380,04,01.06.1997 - 30.11.1998,EJ20E,lean burn excluding,EJ20E,ej20e_specific_target_part,Target-fit evidence only; no cross-engine interchange claim.,Use exact OEM number or supersession for purchases; do not substitute a donor engine without separate evidence.
010,Engine Main,PISTON & CRANKSHAFT,12006,PISTON SET,12006AA390,*,01.06.1997 - 30.11.1998,EJ20E,lean burn excluding,EJ20E,ej20e_specific_target_part,Target-fit evidence only; no cross-engine interchange claim.,Use exact OEM number or supersession for purchases; do not substitute a donor engine without separate evidence.
010,Engine Main,PISTON & CRANKSHAFT,12006,PISTON SET,12006AA400,*,01.06.1997 - 30.11.1998,EJ20E,lean burn excluding,EJ20E,ej20e_specific_target_part,Target-fit evidence only; no cross-engine interchange claim.,Use exact OEM number or supersession for purchases; do not substitute a donor engine without separate evidence.
010,Engine Main,PISTON & CRANKSHAFT,12006,PISTON SET,12006AA410,*,01.06.1997 - 30.11.1998,EJ20E,lean burn excluding,EJ20E,ej20e_specific_target_part,Target-fit evidence only; no cross-engine interchange claim.,Use exact OEM number or supersession for purchases; do not substitute a donor engine without separate evidence.
010,Engine Main,PISTON & CRANKSHAFT,12024,PIN-PISTON,12024AA031,04,01.06.1997 - 30.11.1998,EJ20E +EJ20D,,EJ20D;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12100,ROD ASSEMBLY-CONNECTING,12100AA080,04,01.06.1997 - 30.11.1998,EJ18E +EJ20#,,EJ18E;EJ20,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12108,BEARING SET-CONNECTING ROD,12108AA210,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12108,BEARING SET-CONNECTING ROD,12108AA220,*,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12108,BEARING SET-CONNECTING ROD,12108AA230,*,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12108,BEARING SET-CONNECTING ROD,12108AA240,*,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12113,BUSHING-CONNECTING ROD,12113AA031,04,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12200,CRANKSHAFT COMPLETE,12200AA140,01,01.06.1997 - 31.03.1998,EJ18E +EJ20E +EJ20D,-E/#2213361,EJ18E;EJ20D;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12200,CRANKSHAFT COMPLETE,12200AA200,01,01.03.1998 - 30.11.1998,EJ18E +EJ20E +EJ20D,E/#2213362-,EJ18E;EJ20D;EJ20E,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12211,"BEARING SET-MAIN,NO.1",12211AA040,02,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12211,"BEARING SET-MAIN,NO.1",12211AA050,*,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12211,"BEARING SET-MAIN,NO.1",12211AA060,*,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12211,"BEARING SET-MAIN,NO.1",12211AA070,*,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12212,"BEARING SET-MAIN,NO.2",12212AA040,02,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12212,"BEARING SET-MAIN,NO.2",12212AA050,*,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12212,"BEARING SET-MAIN,NO.2",12212AA060,*,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12212,"BEARING SET-MAIN,NO.2",12212AA070,*,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12213,BEARING SET-MAIN,12213AA000,01,01.06.1997 - 30.09.1997,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12213,BEARING SET-MAIN,12213AA010,*,01.06.1997 - 30.09.1997,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12213,BEARING SET-MAIN,12213AA020,*,01.06.1997 - 30.09.1997,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12213,BEARING SET-MAIN,12213AA030,*,01.06.1997 - 30.09.1997,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12213,BEARING SET-MAIN,12213AA120,01,01.10.1997 - 31.03.1998,EJ18E +EJ20# +EJ25D,-E/#2213361,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
010,Engine Main,PISTON & CRANKSHAFT,12213,BEARING SET-MAIN,12213AA130,*,01.10.1997 - 31.03.1998,EJ18E +EJ20# +EJ25D,-E/#2213361,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
